module,testCaseId,preRequisites,title,text,steps,expectedResults,automationManual,priority,createdBy,risk,version,type
Registration,TC_001,Counter shift should be started for User,Normal Registration,Verify Normal registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Valid UHID should get generate with details and should be able to take the print of that receipt,Automation,P2,Sumitha,High,V7,Function 
Registration,TC_002,Valid Mothers UHID,Baby of Registration,Verify Baby of Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Baby OF”
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Valid UHID for Baby should get generate with details and should be able to take the print of that receipt,Automation,P2,Sumitha,High,V11,Function 
Registration,TC_003,,PRN Registration,Verify PRN Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Registration type as ""PRN"" 
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.",Valid UHID should get generate,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_004,Valid UHID /Any existing Patient details,Update details,"Verify ""Update details"" feature by updating existing Patient details","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter valid UHID or patient details like first name ,last name and gender for search and click on search button
6.Right click on UHID click on Update details and do some changes like change title or marital status.
7.Click on Update record.",Details should get update Successfully,Automation,P2,Sumitha,High,V1,Function 
Registration,TC_005,PRN/ERN Number,Conversion from PRN/ERN Reg to UHID,Verify Conversion from PRN/ERN Reg to UHID,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values like PRN/ERN and click on search button
6.Right click on PRN/ERN and click on convert to UHID link 
7.Enter mandatory Details which are having asterisk(*)symbol and click on convert to UHID button
8.Enter Payment details by selecting payment mode as CARD/CASH etc
9.Click on submit button",Should get convert successfully from PRN/ERN Reg to UHID,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_006,Valid old UHID,OLD to New UHID conversion,Verify OLD to New UHID conversion,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Already have UHID in legacy data as ""Yes"".
5.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6.Enter Payment details by selecting payment mode as CARD/CASH etc
7.Click on submit button",Should get convert successfully from OLD to New UHID,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_007,Valid UHID /Any existing Patient details,Patient Search,"Verify ""Patient Search"" functionality","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values for UHID/First name and last name & gender and click on search button",Searched patient details should be displayed,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_008,Valid From and to Date,OP Search,Verify OP Search Functionality,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on OP Search link
5.Enter the input values like Uhid/From date and To date/Location click on report
6.Click on Export to Excel button (if required)",Consultation report should get generate,Automation,P2,Sumitha,High,V3,Function 
Registration,TC_009,Valid UHID /Any existing Patient details,Regularization of Quick Registration,"Verify ""Regularization of Quick Registration""","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient search link
5.Enter input values UHID/First name and last name & gender for search and click on search button
6.Right click on Quick Registration UHID and click on Regularize UHID link 
7.Click on Regularize UHID button
8.Select payment mode and complete the registration",,Automation,P2,Sumitha,High,V13,Function 
Registration,TC_010,Employee ID,Corporate Registration,"Verify ""Corporate  Registration""","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Corporate Health Care”       
5. Enter Employee Id of any associate with respective Title.                                   
6.Click on Get Details button. 
7. Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
8.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
9.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",Corporate registration ID should generate successfully,Automation,P2,Sumitha,High,V5,Function 
Registration,TC_011,Corporate ID and Corporate Employee ID,Corporate Non-Hospital Registration,Verify Corporate Non-Hospital Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Corporate Non-Health Care”    
5. Enter Corporate Id and Corporate Employee Id of associate with respective Title.                                6.Click on “Add new” button and enter all the corporate details.                                
7. Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
8.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
9.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",,Automation,P2,Sumitha,High,V10,Function 
Registration,TC_012,,International Patient Registration,Verify International Patient Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”    and type as UHID.      
5.Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
6.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
7.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",Successfully International patient should get registered,Automation,P2,Sumitha,High,V1,Function 
Registration,TC_013,,Quick Registration,Verify To generate UHID with Quick Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Registration->Quick Registration
5.Select Registration type as UHID.
6.Select Type of registration as “Normal”.
7.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
",UHID should get generate for Quick Registration,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_014,Event ID,Event Registration,Verify To generate UHID with Event Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of Registration as “Event” and Registration type as UHID.
5. Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6. Select payment mode from payment details and complete the registration           ",UHID should get generate for Event Registration,Automation,P2,Sumitha,High,V16,Function 
Registration,TC_015,Campaign name,Campaign Registration,Verify To generate UHID with Campaign Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of Registration as “Campaign ""and Registration type as UHID. 
5.Select the Campaign name from drop down.
6. Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
7.Select payment mode from payment details  and Click on Submit button    ",UHID should get generate for Campaign Registration,Automation,P2,Sumitha,High,V9,Function 
Registration,TC_016,Batch ID,Camp Batch Registration,Verify To register a Camp members  at one time in a batch mode,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Camp->Batch
5.Click The download excel template for Employee Batch link
6. Save the template           
7.Click on Link ""Check Previous Batch Process""
8.Give From Date and To Date
9.Click on ""Go""
10.Give Batch ID and click on Search
11.Click on Failed Records button.                        
12.Select document to upload
13.Click Browse button
14.Select proper document to upload
15.Click Show Details",,Automation,P2,Sumitha,High,V11,Function 
Registration,TC_017,,UHID with Cash Payment,Verify To generate UHID with Cash Payment,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”                                                               5.Check Yes for International patients and enter the mandatory  fields.
6.Enter  the  Mandatory Details which are having asterisk(*) symbol and click on the “Register” button.
7.Check the transaction billable check box and check the “Cash”  payment mode in Payment details. (By default the transaction check box is checked).
8. Select the Currency and give currency amount in Cash details(Total cash amount should be equivalent to the billable amount)",UHID should get generate with cash Payment,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_018,,UHID with Card Payment,Verify To generate UHID with Card Payment,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”                                                               5.Check Yes for International patients and enter the mandatory  fields.
6.Enter  the  Mandatory Details which are having asterisk(*) symbol and click on the “Register” button.
7.Check the transaction billable check box and check the “Card”  payment mode in Payment details. (By default the transaction check box is checked) provide the required details and do payment.",UHID should get generate with card Payment,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_019,,Emergency Registration,Verify To generate ERN with Emergency Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4. Function --> Registration->Emergency
5.Enter the mandatory details which are having asterisk(*) symbol and Click on Register button
",ERN Number should get generate,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_020,Valid UHID,Sticker Generation,Verify To Generate Sticker,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Sticker Generation from the registration screen.
5.Enter Valid UHID Number and select No . Of copies required.
6.Click on Go button",Stickers should get generate with the number of copies entered.,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_021,,Update Insurance details,Verify updating insurance details to UHID,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on Patient search link and enter valid input values UHID/First name and last name & gender and click on search
5.Select UHID and right click on ""update insurance"" details
6.Make the required changes
7.Click on save",Insurance details should get update for the selected UHID,Automation,P2,Sumitha,High,V15,Function 
Registration,TC_022,Valid UHID number or PRN number,Upload a document ,Verify To Upload a document against a patient ,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4. Navigate to Transaction->Upload 
5.Enter any UHID or PRN and click on show details button.
6.Click on Browse button and select any of the file type(.xls, .doc, .gif, .jpeg, .pdf, .bmp) 
7.Click on Upload record.
8.Select any other file and Click on Document link against the UHID.",User Should be able to Upload Records,Automation,P2,Sumitha,High,V12,Function 
Admin,TC_051,,Audit Home,,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Audit
-> Audit Home.",,,P2,Sankar,High,V5,Function 
Admin,TC_052,,Audit Reports,,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Audit
-> Audit Reports.",,,P2,Sankar,High,V4,Function 
Admin,TC_053,, AHC -> Adding Role ,To verify the user able to Add the role to AHC.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Right click  on AHC and select ""Add Role"".
6.Enter  the Role Name and click on the “Add” button.",Role should be add to AHC,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_054,,AHC -> AHC CONSULTANT -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC CONSULTANT and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V9,Function 
Admin,TC_055,,AHC ->  AHC CONSULTANT -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC CONSULTANT  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V1,Function 
Admin,TC_056,,AHC -> AHC DIETICIAN -> Rename Role,To verify the user able to Rename the role.,"""1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  AHC DIETICAIN and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.""",Role name should be Rename,Manual,P1,Sankar,Critical,V12,Function 
Admin,TC_057,,AHC -> AHC DIETICIAN -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC DIETICIAN  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V7,Function 
Admin,TC_058,,AHC -> AHC FLOOR MANAGER -> Rename Role,To verify the user able to Rename the role.,"""1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FLOOR MANAGER  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.""",Role name should be Rename,Manual,P1,Sankar,Critical,V16,Function 
Admin,TC_059,,AHC -> AHC FLOOR MANAGER -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  AHC FLOOR MANAGER and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V15,Function 
Admin,TC_060,,AHC -> AHC FRONTOFFICE EXECUTIVE -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FRONTOFFICE EXCUTIVE  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_061,,AHC -> AHC FRONTOFFICE EXECUTIVE -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FRONTOFFICE EXECUTIVE  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_062,,AHC -> AHC HOD -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC HOD  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V14,Function 
Admin,TC_063,,AHC -> AHC HOD -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC HOD   and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V5,Function 
Admin,TC_064,,AHC -> AHC REPORTS -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC REPORTS  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V16,Function 
Admin,TC_065,,AHC -> AHC REPORTS -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC REPORTS  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V2,Function 
Admin,TC_066,,AHC -> AHCPHLEBOTOMIST -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHCPHILEBOTOMIST  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V11,Function 
Admin,TC_067,,AHC -> AHCPHLEBOTOMIST -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHCPHLEBOTOMIST and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V7,Function 
Admin,TC_068,,AHC -> BILLING EXECUTIVE -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on BILLING EXECUTIVE  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V16,Function 
Admin,TC_069,,AHC -> BILLING EXECUTIVE -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on BILLING EXECUTIVE  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V2,Function 
Admin,TC_070,,AHC -> CONSULTANT -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  CONSULTANT and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V11,Function 
Admin,TC_071,,AHC -> CONSULTANT -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  CONSULTANT and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V7,Function 
Admin,TC_072,,AHC -> COORDINATOR -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on COORDINATOR  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V3,Function 
Admin,TC_073,,AHC -> COORDINATOR -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on COORDINATOR  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V5,Function 
Admin,TC_074,,AHC -> DISEASE MANAGEMENT EXECUTIVE -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on DISEASE MANAGEMENT EXECUTIVE  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V3,Function 
Admin,TC_075,,AHC -> DISEASE MANAGEMENT EXECUTIVE -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on DISEASE MANAGEMENT EXECUTIVE  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V17,Function 
Admin,TC_076,,AHC -> GENERAL PHYSICIAN -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on GENERAL PHYSICIAN  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V1,Function 
AHC,TC_111,,Mastersetup->Map Visit Counter,To verify the user able to create Map Visit Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Visit Counter.
5.Click on Map Visit Counter.
6.Select Location from the drop down.
7.Enter Visit name  and Counter.
8.Click on ""ADD"" button.

 
",User should able to create Map Visit Counter.,Manual,P4,Sumitha,Low,V10,Function 
AHC,TC_112,,Mastersetup->Map Visit Counter ->Delete,To verify the user able to delete Map Visit Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Visit Counter.
5.Click on Map Visit Counter.
6.Select Location from the drop down.
7.Enter Visit name  and Counter.
8.Select the required record by clicking the check box.
9.Click on ""Delete"" button.
10.Click on ""OK"" button.

 
",User should able to delete Map Visit Counter.,Manual,P4,Sumitha,Low,V2,Function 
AHC,TC_113,,Mastersetup->Map Login Counter,To verify the user able to create Map Login Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Login Counter.
5.Click on Map Login Counter.
6.Enter Login ID and select Counter.
7.Click on ""ADD"" button.

 
",User should able to create Map Login Counter.,Manual,P4,Sumitha,Low,V17,Function 
AHC,TC_114,,Mastersetup->Map Login Counter ->Delete,To verify the user able to delete Map Login Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Login Counter.
5.Click on Map Login Counter.
6.Enter Login ID and select Counter.
7.Click on ""View"" button.
8.Select the required record by clicking the check box.
9.Click on ""Delete"" button.
10.Click on ""OK"" button.

 
",User should able to delete Map Login Counter.,Manual,P4,Sumitha,Low,V2,Function 
AHC,TC_115,,Mastersetup->Map Machine Visit Counter,To verify the user able to create Map Machine Visit Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Machine Visit Counter.
5.Click Map Machine Visit Counter.
6.Select Location, Counter name, Visit Name and 	Machine Name.
7.Select Machine Status radio buttons On/Off.
8.Click on ""Save"" button.
 
",User should able to create Map Machine Visit Counter.,Manual,P4,Sumitha,Low,V4,Function 
AHC,TC_116,,Mastersetup->Map Machine Visit Counter-> Update,To verify the user able to update Map Machine Visit Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Machine Visit Counter.
5.Click on Map Machine Visit Counter.
6.Enter Machine code  and Machine name. 
7.Select Location, Counter name, Visit Name and 	Machine Name.
8.Select Machine Status radio buttons On/Off.
9.Click on ""View"" button.
10.Select the record and click on ""Update"" icon.
11.Click on ""Update"" button.

 
",User should able to update Map Machine Visit Counter.,Manual,P4,Sumitha,Low,V2,Function 
AHC,TC_117,,Mastersetup->Map Machine Visit Counter-> Delete,To verify the user able to delete Map Machine Visit Counter.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Machine Visit Counter.
5.Click on Map Machine Visit Counter.
6.Enter Machine code  and Machine name. 
7.Select Location, Counter name, Visit Name and 	Machine Name.
8.Select Machine Status radio buttons On/Off.
9.Click on ""View"" button.
10.Select the record and click on ""Delete"" icon.
11.Click on ""Ok"" button.

 
",User should able to delete Map Machine Visit Counter.,Manual,P4,Sumitha,Low,V16,Function 
AHC,TC_118,,Mastersetup->Map Machine Visit Counter-> Counter Status,To verify the user able to Map Machine/User.,"
1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select AHC from drop down.
4.Navigate to Functions -> Mastersetup
->Map Machine Visit Counter.
5.Click Map Machine Visit Counter.
6.Click on Counter Status link.
7.Click on Counter Switch button(Green=On, Orange=Off) of a required record. 
 
",User should able to Map Machine/User.,Manual,P4,Sumitha,Low,V16,Function 
